time="2024-06-25T23:54:22+08:00" level=warning msg="/srv/dev-disk-by-uuid-417ee010-3948-4114-8776-bc1fdf6b5599/data/docker_compose/Odoo_16/Odoo_16.yml: `version` is obsolete"
web-1  | 2024-06-25 15:48:09,423 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_company_views.xml 
web-1  | 2024-06-25 15:48:09,491 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_lang_views.xml 
web-1  | 2024-06-25 15:48:09,563 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_partner_views.xml 
web-1  | 2024-06-25 15:48:09,925 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_bank_views.xml 
web-1  | 2024-06-25 15:48:10,028 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_country_views.xml 
web-1  | 2024-06-25 15:48:10,146 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_currency_views.xml 
web-1  | 2024-06-25 15:48:10,260 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_users_views.xml 
web-1  | 2024-06-25 15:48:10,615 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/ir_property_views.xml 
web-1  | 2024-06-25 15:48:10,679 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/res_config_settings_views.xml 
web-1  | 2024-06-25 15:48:10,701 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/report_paperformat_views.xml 
web-1  | 2024-06-25 15:48:10,778 1 INFO odoo_16_docker odoo.modules.loading: loading base/views/onboarding_views.xml 
web-1  | 2024-06-25 15:48:10,847 1 INFO odoo_16_docker odoo.modules.loading: loading base/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:11,341 1 INFO odoo_16_docker odoo.modules.loading: Module base loaded in 35.04s, 7890 queries (+7893 other) 
web-1  | 2024-06-25 15:48:11,341 1 INFO odoo_16_docker odoo.modules.loading: 1 modules loaded in 35.04s, 7890 queries (+7893 extra) 
web-1  | 2024-06-25 15:48:11,429 1 INFO odoo_16_docker odoo.modules.loading: updating modules list 
